product_id,sku,barcode,product_name,department,brand,cost_price,selling_price,mrp,gst_percent,color,size,warranty_months,rating,review_count,status
1,SKU000001,963624212149,Puma Jeans,Fashion,Puma,8671,9748.99,10236.44,12,Black,L,22,4.1,4064,Active
2,SKU000002,329261827993,LG Storage Box,Home,LG,2890,3799.11,3989.07,18,Black,M,7,4.0,3181,Discontinued
3,SKU000003,189506389162,Puma Jeans,Fashion,Puma,44134,54241.22,56953.28,12,Red,S,22,3.7,3359,Discontinued
4,SKU000004,729679922232,Nike Shoes,Fashion,Nike,39300,49300.84,51765.88,12,White,L,1,4.1,1958,Discontinued
5,SKU000005,835395616928,LG Table,Home,LG,49755,68882.82,72326.96,18,Black,NA,17,4.3,2844,Discontinued
6,SKU000006,636446156512,Samsung Laptop,Electronics,Samsung,31548,39302.82,41267.96,18,White,NA,21,4.6,2786,Active
7,SKU000007,013244073259,Nike Jeans,Fashion,Nike,24386,32427.39,34048.76,12,Blue,S,9,4.3,3565,Active
8,SKU000008,438869091828,Amul Butter,Groceries,Amul,14625,20243.19,21255.35,5,Black,S,21,3.7,2889,Active
9,SKU000009,448270527273,Britannia Tea,Groceries,Britannia,12766,17725.83,18612.12,5,Black,M,22,4.8,4465,Active
10,SKU000010,341573244280,Apple Laptop,Electronics,Apple,27394,32745.9,34383.19,18,Blue,NA,22,3.7,478,Active
11,SKU000011,577786388719,IKEA Storage Box,Home,IKEA,47109,53014.0,55664.7,18,Blue,M,3,4.8,4341,Active
12,SKU000012,736399399794,Apple Laptop,Electronics,Apple,17529,21235.11,22296.87,18,Blue,L,16,4.3,4335,Discontinued
13,SKU000013,648085641808,Sony Cookware,Home,Sony,8110,9513.29,9988.95,18,Black,M,15,4.1,643,Active
14,SKU000014,759759520209,Amul Milk,Groceries,Amul,26845,32064.56,33667.79,5,Black,S,11,3.5,260,Discontinued
15,SKU000015,527501393167,Amul Butter,Groceries,Amul,38118,44732.4,46969.02,5,Blue,XL,10,4.5,2297,Active
16,SKU000016,498923405979,Puma T-Shirt,Fashion,Puma,18984,22300.31,23415.33,12,Black,S,9,3.9,1023,Discontinued
17,SKU000017,209405759366,Adidas Jeans,Fashion,Adidas,14611,16213.32,17023.99,12,White,L,0,4.8,1872,Active
18,SKU000018,533149664007,Britannia Cookies,Groceries,Britannia,1163,1568.75,1647.19,5,Blue,L,0,3.7,744,Discontinued
19,SKU000019,375537890258,LG Headphones,Electronics,LG,33359,46410.44,48730.96,18,White,M,22,4.3,3434,Discontinued
20,SKU000020,442256774911,LG Storage Box,Home,LG,49779,64594.68,67824.41,18,Blue,S,22,4.9,2800,Discontinued
21,SKU000021,359552277830,Apple Headphones,Electronics,Apple,34233,41549.83,43627.32,18,Blue,M,12,4.8,855,Discontinued
22,SKU000022,078198336099,LG Chair,Home,LG,43300,55986.12,58785.43,18,Black,L,11,4.0,592,Active
23,SKU000023,590298224924,Britannia Tea,Groceries,Britannia,405,501.5,526.58,5,White,L,3,4.4,4467,Active
24,SKU000024,748328737476,Apple Laptop,Electronics,Apple,10122,13095.68,13750.46,18,Black,L,5,3.6,1325,Active
25,SKU000025,902193052109,Adidas Jacket,Fashion,Adidas,31127,35057.02,36809.87,12,White,L,2,3.8,2521,Discontinued
26,SKU000026,335451038028,Samsung Laptop,Electronics,Samsung,3461,4487.02,4711.37,18,Black,L,21,4.8,3562,Discontinued
27,SKU000027,892532543423,Adidas Jeans,Fashion,Adidas,11229,15159.5,15917.48,12,Red,XL,9,3.6,544,Discontinued
28,SKU000028,816049398572,LG Storage Box,Home,LG,31151,35368.4,37136.82,18,White,XL,8,4.2,447,Discontinued
29,SKU000029,937511170752,IKEA Chair,Home,IKEA,42475,47295.93,49660.73,18,Blue,M,6,4.0,1821,Discontinued
30,SKU000030,065395742259,Sony Cookware,Home,Sony,20980,27011.39,28361.96,18,Red,XL,7,3.6,1859,Discontinued
31,SKU000031,717972207217,Britannia Milk,Groceries,Britannia,6791,8352.27,8769.88,5,Blue,NA,10,4.6,1807,Active
32,SKU000032,993180625048,Nike Shoes,Fashion,Nike,11066,12415.73,13036.52,12,Red,L,0,4.2,2071,Discontinued
33,SKU000033,277562191050,IKEA Chair,Home,IKEA,6623,7610.73,7991.27,18,Blue,M,2,4.0,2794,Discontinued
34,SKU000034,499661036340,Britannia Cookies,Groceries,Britannia,3031,3634.28,3815.99,5,Black,S,5,4.3,2730,Discontinued
35,SKU000035,276685840367,Adidas Shoes,Fashion,Adidas,3518,4538.04,4764.94,12,Blue,M,7,3.9,171,Active
36,SKU000036,134562728433,Puma Shoes,Fashion,Puma,49235,56140.82,58947.86,12,Black,M,16,3.9,1827,Active
37,SKU000037,371477492869,Puma Jacket,Fashion,Puma,17249,23645.3,24827.56,12,Blue,S,18,4.2,3051,Active
38,SKU000038,556452248690,Amul Milk,Groceries,Amul,21705,24651.16,25883.72,5,Blue,NA,2,3.9,4645,Discontinued
39,SKU000039,806794752790,IKEA Cookware,Home,IKEA,36904,49688.76,52173.2,18,Blue,XL,3,4.9,3905,Active
40,SKU000040,570852446424,LG Table,Home,LG,921,1170.16,1228.67,18,Black,S,2,3.5,1303,Discontinued
41,SKU000041,266365917701,Nike Jeans,Fashion,Nike,10575,13691.18,14375.74,12,White,XL,12,4.6,2008,Discontinued
42,SKU000042,423067752806,Adidas Jacket,Fashion,Adidas,34470,38203.28,40113.44,12,Blue,L,6,4.7,4436,Active
43,SKU000043,452394069750,Puma Shoes,Fashion,Puma,5499,6388.43,6707.85,12,White,XL,6,5.0,123,Active
44,SKU000044,744729405634,LG Cookware,Home,LG,30594,38554.45,40482.17,18,Red,S,15,3.9,54,Active
45,SKU000045,496483361661,Sony Headphones,Electronics,Sony,19671,24368.27,25586.68,18,Black,L,22,4.0,922,Active
46,SKU000046,012669777327,LG Chair,Home,LG,16026,20687.22,21721.58,18,White,M,1,4.2,270,Discontinued
47,SKU000047,865183059101,IKEA Table,Home,IKEA,42101,49006.37,51456.69,18,Black,S,22,3.5,2628,Active
48,SKU000048,449346391273,Amul Tea,Groceries,Amul,29244,35535.65,37312.43,5,Blue,S,13,4.1,3390,Active
49,SKU000049,586477844889,IKEA Table,Home,IKEA,45825,56151.32,58958.89,18,White,M,15,4.8,1565,Discontinued
50,SKU000050,543650464345,Apple Headphones,Electronics,Apple,46683,53592.43,56272.05,18,Red,XL,24,4.9,1030,Active
51,SKU000051,822984092187,Samsung Laptop,Electronics,Samsung,43214,50539.51,53066.49,18,Black,XL,19,4.3,2263,Discontinued
52,SKU000052,017103094397,Puma Jacket,Fashion,Puma,6614,7784.51,8173.74,12,Red,XL,19,3.7,2218,Discontinued
53,SKU000053,393889545864,Amul Milk,Groceries,Amul,18699,21216.19,22277.0,5,Red,NA,11,3.8,804,Active
54,SKU000054,185749554190,Nike T-Shirt,Fashion,Nike,23543,27781.02,29170.07,12,Red,XL,23,3.7,2579,Discontinued
55,SKU000055,437957784792,Nike Jeans,Fashion,Nike,15772,18870.82,19814.36,12,Blue,L,10,3.9,3354,Discontinued
56,SKU000056,645768373960,LG Storage Box,Home,LG,4545,5994.85,6294.59,18,White,M,9,4.5,125,Discontinued
57,SKU000057,840655829050,LG Smartphone,Electronics,LG,45051,61319.75,64385.74,18,Red,NA,24,3.8,1580,Discontinued
58,SKU000058,407110495659,Adidas Jeans,Fashion,Adidas,39933,50134.1,52640.81,12,Red,L,18,3.5,654,Active
59,SKU000059,277938311892,Sony Chair,Home,Sony,41347,47676.97,50060.82,18,Black,NA,10,4.8,1143,Active
60,SKU000060,541803219167,Britannia Cookies,Groceries,Britannia,7465,8215.81,8626.6,5,Red,XL,4,5.0,500,Active
61,SKU000061,750624008424,Sony Storage Box,Home,Sony,43039,58043.8,60945.99,18,Blue,S,16,3.7,2819,Discontinued
62,SKU000062,332991957050,Nike Shoes,Fashion,Nike,44248,60192.21,63201.82,12,Blue,L,6,3.7,4664,Discontinued
63,SKU000063,158922885090,Samsung Smart Watch,Electronics,Samsung,27206,32040.15,33642.16,18,Red,L,9,4.3,4166,Active
64,SKU000064,697889303059,Samsung Smart Watch,Electronics,Samsung,38785,46697.89,49032.78,18,Red,L,11,4.0,4411,Discontinued
65,SKU000065,195658819413,Amul Cookies,Groceries,Amul,25314,31520.08,33096.08,5,White,XL,20,4.3,2506,Active
66,SKU000066,764040448504,Sony Laptop,Electronics,Sony,3356,4085.59,4289.87,18,Blue,L,19,4.0,1515,Active
67,SKU000067,624308421691,LG Smart Watch,Electronics,LG,6461,7988.25,8387.66,18,Black,NA,17,3.9,4953,Active
68,SKU000068,721962132752,Nike T-Shirt,Fashion,Nike,8934,10722.41,11258.53,12,Red,XL,19,3.5,4246,Discontinued
69,SKU000069,712946367185,Sony Laptop,Electronics,Sony,9895,10916.95,11462.8,18,Black,L,3,4.9,3080,Discontinued
70,SKU000070,901602724207,Sony Cookware,Home,Sony,12364,14868.53,15611.96,18,Red,NA,8,4.8,4759,Discontinued
71,SKU000071,002554938067,Puma Jacket,Fashion,Puma,21339,29324.42,30790.64,12,Red,XL,8,4.1,2513,Discontinued
72,SKU000072,792388129564,Sony Storage Box,Home,Sony,20407,25986.89,27286.23,18,Black,M,24,3.9,1264,Active
73,SKU000073,150341632481,Amul Cookies,Groceries,Amul,46004,60785.61,63824.89,5,Red,S,0,4.0,1598,Active
74,SKU000074,508068738909,IKEA Cookware,Home,IKEA,7497,10260.47,10773.49,18,Black,L,10,4.3,1039,Discontinued
75,SKU000075,207869471355,Samsung Laptop,Electronics,Samsung,3191,3963.47,4161.64,18,Blue,NA,23,3.9,181,Active
76,SKU000076,689658968750,Samsung Smart Watch,Electronics,Samsung,34911,39537.4,41514.27,18,White,L,0,4.8,3493,Active
77,SKU000077,919775700334,LG Chair,Home,LG,39350,49269.28,51732.74,18,Black,S,2,4.6,145,Discontinued
